Protein.Group	Protein.Names	Genes	First.Protein.Description	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_1_A50414_RD1_1_10360.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_2_A50418_RD5_1_10374.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_3_A50422_RD9_1_10382.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_4_A50426_RD13_1_10390.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_5_A50430_RD17_1_10398.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_1_A50417_RD4_1_10372.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_2_A50421_RD8_1_10380.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_3_A50425_RD12_1_10388.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_4_A50429_RD16_1_10396.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_5_A50433_RD20_1_10404.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_1_A50415_RD2_1_10368.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_2_A50419_RD6_1_10376.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_3_A50423_RD10_1_10384.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_4_A50427_RD14_1_10392.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_5_A50431_RD18_1_10400.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_1_A50416_RD3_1_10370.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_2_A50420_RD7_1_10378.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_3_A50424_RD11_1_10386.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_4_A50428_RD15_1_10394.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_5_A50432_RD19_1_10402.d
Q15369	ELOC_HUMAN	ELOC		481693	299119	466176	435678	369054	650170	601091	525541	771848	625492	368077	421952	560095	547148	521012	590116	495518	442160	539376	387191
Q15370	ELOB_HUMAN	ELOB		379515	320066	353480	475625	475217	638553	568226	578040	709562	477468	194122	388760	389346	338166	376407	212886	351177	275238	415981	353246
Q15375	EPHA7_HUMAN	EPHA7		56051.2		32035.7	36827.8		45098.5		37510.5						100043						
Q15382	RHEB_HUMAN	RHEB		232282	190324	210497	198911	215406	327233	324216	240352	260360	328814	263576	194138	286272	141707	223242	110586	376445	310373	332375	287373
Q15386	UBE3C_HUMAN	UBE3C		72951.3	77457.4	75771.8	67710.2	73813.4	69817.9	71606.1	72639.5	68068.9	67161.1	82689.8	64764.6	67576.8	54603.1	76598.7	63474.7	76289.7	82283.9	60651.6	70553
Q15388	TOM20_HUMAN	TOMM20		222520	74380.4	212289	257456	188874	320764	181653	170725	108522	175881	150863	163312	366694	252742	139878	294410	163170	332256	287031	264240
Q15390	MTFR1_HUMAN	MTFR1		10584.7	12968.1	19029.1	18727.6	17244.8	13991.7	13334.3	10703	12354.9	12936.7	11763.1	18618.9	13141.2	14082.1	14877.6	13410.1				13656.8
Q15392	DHC24_HUMAN	DHCR24		475033	500831	575876	588486	641193	570442	574930	651829	625267	513461	494278	474766	545689	522173	562880	764526	604438	817480	543597	682040
Q15393	SF3B3_HUMAN	SF3B3		1.15232e+06	1.68264e+06	1.64296e+06	1.29709e+06	1.71434e+06	1.42729e+06	1.27454e+06	1.73541e+06	982898	1.20811e+06	1.6334e+06	1.22534e+06	1.15924e+06	1.30933e+06	1.48154e+06	1.23237e+06	1.72902e+06	1.36589e+06	1.41611e+06	1.38717e+06
Q15397	PUM3_HUMAN	PUM3		424181	290835	284257	258721	223972	254600	283541	202406	263712	253888	339359	310557	271414	265784	271370	280960	296221	211549	223724	355238
Q15398	DLGP5_HUMAN	DLGAP5		42326.7	34381.2	37513.1	39961	39155	54740.3	40444.9	34625.3	35391.4	34490.6	34517.2	38212.1	40698	41323.1	36768.5	38908.5	31328.8	27327.4	26168.6	35951.3
Q15404	RSU1_HUMAN	RSU1		322189	296785	324468	287771	305149	405572	432626	265317	430221	440337	257016	277605	322755	366162	296330	329811	337549	277140	324729	246519
Q15417	CNN3_HUMAN	CNN3		46134.8	43011.8	46211.5	60790.8	63217.9	54035.8	51612.6	56998.5	54673	53506.2	42833.4	59467.6	55836.9	50989.8	39699.9	39949.5	33937.3	33358	28406.3	48552.8
Q15418	KS6A1_HUMAN	RPS6KA1		442305	690569	643916	524937	542812	479632	534214	576116	462176	422156	695406	681102	570684	434880	633600	507239	446506	498478	547113	650894
Q15424	SAFB1_HUMAN	SAFB		383798	342169	363276	410264	421348	409997	404294	369237	385821	422625	331686	371776	447746	367928	349327	341641	388513	359219	514382	448074
Q15427	SF3B4_HUMAN	SF3B4		201046	236404	186931	275039	247643	287594	334482	260072	382704	327345	224677	187403	344698	332108	295802	161773	365447	407689	359421	309372
Q15428	SF3A2_HUMAN	SF3A2		292298	292359	304017	272423	288243	337432	342373	257470	295866	302046	241005	277037	281304	299728	273078	266651	305527	255196	277352	328131
Q15435	PP1R7_HUMAN	PPP1R7		339832	293822	275657	285534	308865	460924	524649	324260	363526	421654	324388	318896	277155	491897	292357	424816	396234	350863	268460	284072
Q15436	SC23A_HUMAN	SEC23A		46241.9	68574	59836.4	58415.2	63063.6	55132.5	53656.6	61621.9	63706.4	62308.3	64746.2	52304.5	59191	46841.3	62269.7	41235.4	48996.6	52153.6	45888.1	43463.8
Q15437	SC23B_HUMAN	SEC23B		455502	515370	503176	460311	472624	420347	468400	521249	496952	482842	519724	468772	467640	366541	532158	381976	433898	445557	359932	328729
Q15438	CYH1_HUMAN	CYTH1		46149.6	43616.2	46848.8	38720.8	46660.2	35065.7	39155.5	49443.9	37379.5	44003.6	45629.2	56976.2	44434.3	43441.3	46881	30854.9	34470.9	25720.5	30556.9	35557.3
Q15459	SF3A1_HUMAN	SF3A1		708882	689159	706804	764404	751788	709746	740121	711923	694906	747963	671653	725110	733254	707335	713009	690719	687583	684840	664047	776020
Q15468	STIL_HUMAN	STIL		18028.2	19549.7	23144.4	15934	17790.7	22005.8	21696.5	22157.9	25081.6	22044	26177.8	19883.3	16812	15376.6	21091.6	18711.5	21671.9	18597.6	15944.4	20228.8
Q15477	SKI2_HUMAN	SKIC2		89083.4	101581	103501	104671	100526	96004.8	100579	94945.2	101521	101407	97792.5	99131.3	99493.6	95133.1	94188.9	77974	91629.9	93423.4	89413.9	95112.9
Q15493	RGN_HUMAN	RGN		12164.9	13793.2	6905.48	17197	18730.5	15125	16597.8	11193.8	12034	24803	15854	13896.5	28754.6	16709.9	12917.5	38560.1	26845.1	28808.6	38349.8	28079.1
Q15517	CDSN_HUMAN	CDSN		9084.98					22760.5	9291.93			17473.9			19298.3	26247.6		12283.8	37664.8	17659.7	20292.6	15752
Q15526	SURF1_HUMAN	SURF1		138536	147856	147633	147275	145402	145419	113208	155746	131216	121658	150548	158771	130962	166202	145880	224023	150655	174682	246578	194260
Q15527	SURF2_HUMAN	SURF2		47330.6	53414.4	44374.1	43612	57759.1	44421.1	50390.3	49360.9	43401.2	47251.6	50672.3	39801.9	45585.3	42369.4	42548.9	35885	28394.6	27411.9	23657.4	31685.9
Q15528	MED22_HUMAN	MED22		6449.03		9078.36	5083.82		11746.5	13151.7	14902.5	11688.5	14225.3	9265.89	8910.31	5263.56	10909	13189.6	12584.4	15171.3	19508.4	23586.2	14792
Q15532	SSXT_HUMAN	SS18		9722.6	3838.04	7165.32	5843.94	7787.61	8523.29	6454.39	11188.6	7949.34	5757.94	6622.08	4686.07	6477.7	7812.1	5376.88		9736.2	11057.1	6968.07	10102.6
Q15542	TAF5_HUMAN	TAF5		51168.8	25810.8	32362.5	43801.4	51044	38696	33830.2	36556.9	32306.9	29028.1	32779.1	41843.6	37003.9	30426.4	24543.4	38241.4	44629.4	42817.2	40047.3	48291.4
Q15545	TAF7_HUMAN	TAF7		74234.8	99164.5	82415.2	84036.1	90790.1	58329.3	69713.1	76369.2	76260	67314.7	77751.9	78817.8	73134.7	62958	82222.4	77943.7	75766.8	66500.8	74787.3	70459.6
Q15554	TERF2_HUMAN	TERF2		52424.9	56513.4	47893.8	57190	62772.4	51873.7	57816.6	61211.9	57481.1	59480.9	56569.9	60604.7	56028.9	42664.5	54822.4	70247.7	69552.8	71255.7	76614.1	76044.9
Q15555	MARE2_HUMAN	MAPRE2		156540	161452	184498	123498	167248	133157	148461	177657	154102	145431	139682	153153	133865	58553.5	148539	90195.3	171163	171972	121582	112668
Q15572	TAF1C_HUMAN	TAF1C		29883.1	30204.9	29553.9	23706.9	28137.2	29694.2	25834.7	34529.3	27001.6	27288.7	35287.4	31280.1	30720.2	19152.7	31751.3	33860.8	32230.4	36636.5	39141	37619.2
Q15573	TAF1A_HUMAN	TAF1A		16121	16069.6	14216.5	16979.9	13781.9	16043.1	13010.4	15573.3	10676.3	11773	18001.6	16347.5	14646.9	9804.27	19170.2	18982.5	19142.8	21101.4	22698.4	20735.2
Q15582	BGH3_HUMAN	TGFBI		62809	53644.8	55205.5	60569.6	66619.3	38601.2	42316.2	39588.7	43686.8	41012.7	32525.8	47748.3	63972.6	50650.5	45402.3	30777.1	52159.3	57618.1	52066.5	50854.4
Q15596	NCOA2_HUMAN	NCOA2		36940.5	51985.8	39187.8	38216.4	32892	49330.1	44058.1	39483.7	57287.4	45543.9	54794.5	41517.8	50304.2	50926.7	44174	37022	46590.6	47476.1	40495.1	44157.4
Q15599	NHRF2_HUMAN	NHERF2		19868.8	29956.4	23460.6	23732.6	24166.4	33885	23626.7	30687.1	23271.7	29489.4	21346.2	27375.9	9530.86	30923.9	30041.4	27305	33107.1	32477.1	27890	21988.1
Q15628	TRADD_HUMAN	TRADD		62625.2	44371.1	52858.5	79427.8	74889.8	57494.9	43705.8	61359.8	36764.2	44016.1	35244.2	63758.9	56830.1	43245.3	35871.7	43002.6	34396.5	22568.1	37829.9	59748.6
Q15629	TRAM1_HUMAN	TRAM1		77608.8	74313	81721.8	147939	141641	122843	130040	159112	122367	102456	126750	127810	113137	104923	118834	75021.6	133695	140671	133541	200646
Q15631	TSN_HUMAN	TSN		490213	602866	601093	619114	575198	618696	644240	599314	653193	566963	635644	543054	544922	504204	645286	524021	621167	610014	366846	503650
Q15633	TRBP2_HUMAN	TARBP2		32366.8	26941.7	30980.7	33834	30457.6	26823.7	28249.9	30264.4	31556.6	30527.3	34185	32466.1	32996.3	29105.6	27051.4	23039.3	18363.5	21113.1	22969.1	25585.3
Q15637	SF01_HUMAN	SF1		715809	635375	703478	738630	755073	917738	818958	615800	692371	768718	598203	626193	799533	831596	654593	501584	567263	386881	526802	666255
Q15642	CIP4_HUMAN	TRIP10		59294.3	62375	59998.8	84799.5	62931.4	44904.1	45762.1	64866.6	56086.8	59425.3	50034.8	76990.8	75392.4	74961	64211.1	29564.1	20812.4	22733.8	54496.4	46870.1
Q15643	TRIPB_HUMAN	TRIP11		60627.3	54952.2	53444.6	51958.4	62813	55279.6	55453.1	68369.8	63590.4	60473.9	52587.5	58117.2	57411.4	53172.2	56035.5	49419.8	46132.1	40023.3	49204.5	49839.2
Q15645	PCH2_HUMAN	TRIP13		240788	220707	218764	213336	222743	231820	184357	227735	195718	204459	248382	209029	180565	167642	210621	181217	179592	199894	189849	193217
Q15646	OASL_HUMAN	OASL			9067.87	9523.12	10876.5	9918.59		6404.91	11765	6058.64	9315.1		13746.8	11307	6724.56	11202.1		4223.3	8083.88	8751.29	9264.37
Q15648	MED1_HUMAN	MED1		87815.2	78016.5	81343.4	83701.3	79779.7	103616	87584.8	87287	78758.9	93717.6	70238.1	84614.8	78916.9	93015	76263.1	97549.6	112380	98863.7	97229.9	107084
Q15649	ZNHI3_HUMAN	ZNHIT3		44395.8	37309.7	35867.9	28722.6	28644.2	42785.4	37523.2	31316.1	42374.5	37300.6	36687.3	27372.9	23996.1	23339	30720.1	36823.8	38075.4	33523.7	22224.9	25379.5
Q15650	TRIP4_HUMAN	TRIP4		97202.7	90839	100546	88946.8	104892	83673.6	91892.6	102403	103538	104553	110989	97564.3	89511	70151.3	98636	76331.1	79826.9	70593.8	68980	79734.2
Q15652	JHD2C_HUMAN	JMJD1C		41782.3	36015	30010.7	30004.1	32759	36749	25268.6	35261	35521	44339	35411.2	41645.5	34275.2	43509.4	36157	46551.6	29484	35506.6	36302.1	29553.3
Q15653	IKBB_HUMAN	NFKBIB		20351.9	18566.6	18194.7	13857	13463.3			13232.1		6442.5	5091.01	10850.1	1715.66				8827.3	8022.47		9181.19
Q15654	TRIP6_HUMAN	TRIP6		222853	247212	269312	209114	271873	218212	196901	266761	224662	238119	240471	220981	190108	177850	250817	191433	161264	204477	141403	171475
Q15672	TWST1_HUMAN	TWIST1		11858.2	11828.2	9849.1	9574.53	9430.83	13487.4	16903.9	11672.3	12276.2	12467.9	17064.9	9191.28	10333	11627	10850	14784.6	15384.4	14563.2	12766.1	14120.2
Q15691	MARE1_HUMAN	MAPRE1		681586	683709	624548	575567	567668	760525	746568	614033	699548	681140	599882	629915	615341	659448	545059	596867	625723	527118	412792	454230
Q15696	U2AFM_HUMAN	ZRSR2		13523.1	12693.8	9885.67	15126.4	10915.3	8815.85	14550.3	11792.7	11131.5	11573.4	12481.1	12965.9	13668.1	12303.9	11025.4	14676.7	18371.6	18776	15185.7	14795.4
Q15697	ZN174_HUMAN	ZNF174		22668.2	23515.6	13723.7	13631.8	16971.6	17098.3	14500.9	22820.2	19476.8	15871.9	23117.9	19663.8	12794.7	23623.7	14012.5	22391	20617.8	16151.2	22764.3	15927.7
Q15699	ALX1_HUMAN	ALX1		40116.2	35007.2	29222.6	27960	22641.8	26182.9	31919.6	36956.4	20615.2	24115.1	28981	34932.4	28612	24616.7	29475.1	34113.1	30511.5	23907.2	52939.6	27999.9
Q15717	ELAV1_HUMAN	ELAVL1		937462	1.04009e+06	1.04853e+06	1.17207e+06	939223	1.42024e+06	1.25713e+06	969762	1.01251e+06	1.15348e+06	1.10275e+06	1.082e+06	1.31079e+06	1.26181e+06	1.01645e+06	1.08815e+06	1.29884e+06	1.24945e+06	1.14904e+06	1.10893e+06
Q15723	ELF2_HUMAN	ELF2		44700.3	37210.9	38197	27836.3	32250.6	31065.8	32514	30018.4	31456.9	30284	34739.3	29963.1	22913	29575.8	29812	24346.9	28051.2	19952.8	29710.9	28523.4
Q15738	NSDHL_HUMAN	NSDHL		181635	218400	242787	256843	294700	237503	237687	264965	238124	217327	219121	286566	250174	208564	229230	257479	290826	283181	240140	367184
Q15742	NAB2_HUMAN	NAB2		17587	37629.8	45213.7	43750.7	30691.7	30847.9	45606.6	44006	40228.1	47753.8	16761.7	49909.4	53048.5	48140	45852.4	92065.5	88187.4	95308.8	78880.9	94486.3
Q15744	CEBPE_HUMAN	CEBPE		29023.3	22087.2	18195.8	20719.3	23908.3	26620.6	23453.6	16537.2	25061.7	20576.7	18116.1	21982.3	18282.1	23392.5	18324.4	19286.1	27691.9	31138.8	27016.2	25134
Q15750	TAB1_HUMAN	TAB1		436435	496669	507353	516048	495673	628877	600249	404072	597323	516559	451561	553161	399714	643108	481211	68631.7	441235	322381	433104	386506
Q15751	HERC1_HUMAN	HERC1		76194.4	94416.8	86612.3	83858.7	90568.6	75792.4	76986.1	85717.8	86056.7	78521.9	93513.1	82110.9	85905	71833.2	96848.8	68256.7	67419.4	75291.5	56941.6	63199.5
Q15758	AAAT_HUMAN	SLC1A5		564045	425876	457848	546519	652853	682726	487594	595749	435290	443137	479614	517433	442788	540366	468925	615673	576341	549658	487679	649563
Q15773	MLF2_HUMAN	MLF2		8252.72	10601.4	18753.9	13340.2	25379.7	15019.3	10755.6	12286.5	15860.4	14931.1	16470.6	18939.8	15155.4	21899.7	20893.1	19557	15875.9	22834.6	27455.1	25467.5
Q15776	ZKSC8_HUMAN	ZKSCAN8		18196.4	17510.2	11192.6	19556.9	15502.1	19494.8	16991.1	18154.8	10071.5	19166.8	18766.5	13475.9	13462.4	14515.1	15893.6	11590.4	15023		17344.9	17701
Q15785	TOM34_HUMAN	TOMM34		235276	196319	197486	188130	220067	222991	184538	224659	202897	196963	206866	205353	209941	200978	208798	153214	163040	149054	172959	167698
Q15788	NCOA1_HUMAN	NCOA1		19325.7	17391.3	19300.6	19504.8	22625.6	20677	18587.2	21885.6	23863.1	21410.7	14894	17355	20915.1	18199.2	16153.2	17869.3	22398.1	25448.4	28579	14803.7
Q15796	SMAD2_HUMAN	SMAD2		208242	165569	177539	177769	181214	188041	184424	179879	192025	179486	182127	183633	171374	247221	177820	145024	149864	133501	153757	154672
Q15800	MSMO1_HUMAN	MSMO1		81085.3	94718.4	107554	91704.1	109781	72413	111059	134113	99249	83218.8	68846.8	77266	71829.3	76998.3	95765.1	53196.4	122463	179991	110276	157304
Q15811	ITSN1_HUMAN	ITSN1		12738.2	19111.3	18728.2	13532.8	12771.8	21466.6	21205.4	15717.9	18908.1	20483.6	18394.5	14621.5	12608.4	24272.4	15536.3	14952.5	17137.8	9527.38	14981.8	8694.17
Q15813	TBCE_HUMAN	TBCE		207424	208677	215290	210544	226683	194004	195366	225272	198998	205942	246882	194922	199692	165971	229042	146670	150374	145877	131322	163310
Q15814	TBCC_HUMAN	TBCC		99707.1	81410.9	78674.1	103072	73872.5	155219	108787	76223.1	92293.5	107590	71692.9	99637.5	84532.9	131045	67213.1	110868	111154	75600	65559.4	96251.9
Q15819	UB2V2_HUMAN	UBE2V2		116145	133441	167712	167962	195872	386230	451359	128604	356961	272581	167612	158127	163494	369239	153897	287279	298011	195648	179101	147280
Q15831	STK11_HUMAN	STK11		258530	358871	428282	368110	320708	234368	424162	366537	450186	339607	323228	363186	385431	361762	409203	301783	318158	379504	266279	321669
Q15833	STXB2_HUMAN	STXBP2		376201	477361	504489	513415	474551	431928	492571	449701	504026	490791	476848	440380	465404	396050	473271	324693	419212	435601	305926	379572
Q15836	VAMP3_HUMAN	VAMP3		68306.7	92041.8	88862.7	80648.5	84362.1	61042.5	70299.6	96174.5	71309.1	86347.7	62995.3	80782.2	71182.5	107839	108123	58014.6	88514.7	82296.4	100242	60131
Q15843	NEDD8_HUMAN	NEDD8		56818.3	70447.5	52141.8	51159	26356.3	83159.4	52747.4	36030	63800	61407.4	60364.7	39105.3	57567.2	80433.9	67558.1	44831.4	65089	74503.4	61446.8	74411
Q15853	USF2_HUMAN	USF2		38683	48035.2	45152.3	39524.4	37739.4	41424	49322.2	36483.8	59436.1	56324.2	42437.1	37361.9	36611.8	46499.5	48923.8	46281.2	48343.2	40125	44200.7	41861.9
Q15904	VAS1_HUMAN	ATP6AP1		245383	165748	189634	250323	144168	345146	312359	176948	167793	196077	183469	159255	284303	178672	171424	354735	466585	388701	754293	371398
Q15906	VPS72_HUMAN	VPS72		34673.2	34819.2	24994.5	41797.4	38104.2	36230.7	34423.2	47361.8	26115.7	32252.1	21783.8	45491.7	38833.3	35601.2	33158.8	39653	43840.5	43525.9	51015.2	55292.7
Q15907	RB11B_HUMAN	RAB11B		615123	1.14294e+06	1.34881e+06	1.37537e+06	1.37934e+06	1.46063e+06	1.49815e+06	1.17797e+06	1.26046e+06	1.39509e+06	875202	1.13314e+06	1.31814e+06	1.56884e+06	1.09352e+06	1.6913e+06	1.65827e+06	1.47998e+06	1.55228e+06	1.38565e+06
Q15910	EZH2_HUMAN	EZH2		154691	155016	157685	154446	150452	165530	179091	142213	170407	155369	162767	142608	151830	137013	150070	140769	208760	213161	192676	201528
Q15928	ZN141_HUMAN	ZNF141			33373.4	22052.6	39871.7	20727.2		15603			15019.4	32995.9	40572.9	41129.6	24501.9	29120			43756.3	23796.6	26231.2
Q15942	ZYX_HUMAN	ZYX		2.06587e+06	2.41729e+06	2.64657e+06	2.55694e+06	2.84072e+06	2.4845e+06	2.52551e+06	2.74914e+06	2.58223e+06	2.37109e+06	2.5064e+06	2.55642e+06	2.63107e+06	2.46053e+06	3.10359e+06	1.80965e+06	1.84582e+06	1.64016e+06	1.46516e+06	1.89875e+06
Q15973	ZN124_HUMAN	ZNF124		79163.6	80474.9	64474.1	50066.3	63105.9	57258.1	60207.2	64070.6	49161.3	50076.4	79635	70737.3	67713.9	53355	59197.6	76042.5	74006.5	84907.3	48599.8	59156.9
Q16134	ETFD_HUMAN	ETFDH		73173.5	62573.5	73844.7	87424.6	92716.1	84809.7	79259.3	82909.5	69345.5	84018.1	72183.2	80194.6	89148.4	77316.7	72557.7	96114.3	96661.4	112296	100736	116394
Q16181	SEPT7_HUMAN	SEPTIN7		599569	673169	683448	781060	858728	601882	566202	717927	606918	652974	686118	732112	644554	635559	627867	503034	443205	434987	317436	403491
Q16186	ADRM1_HUMAN	ADRM1		421759	377340	475127	457036	517304	469216	461549	480250	476452	541586	447340	362202	467584	522900	576321	356366	371730	349810	280310	459526
Q16204	CCDC6_HUMAN	CCDC6		85586.8	94379.7	94644.2	96501	97996.6	106200	114157	99163.7	114344	117007	78845.9	97583.8	101961	96373.2	94293.2	79230.6	112527	92869.4	80429.9	85468.7
Q16222	UAP1_HUMAN	UAP1		133089	154121	129842	156330	184763	222172	176873	152450	153508	160812	126555	146436	174811	162351	167454	106787	109894	113686	87509.6	130254
Q16254	E2F4_HUMAN	E2F4		17925.4	18963.8	20471.2	23401.4	23392.5	26071.3	24194	23184.9	30094.5	27253.6	18314.6	18505.2	13488.3	25304.9	17857.6	13766.3	16596.9	13695.2	25811.2	27964.4
Q16270	IBP7_HUMAN	IGFBP7		150694	122203	141489	121449	121256	154954	119368	119745	118225	142458	126172	118169	95670.8	107795	104515	172056	113982	89541.9	80766.5	112465
Q16342	PDCD2_HUMAN	PDCD2		70281.7	59508.4	56568.9	70389.7	65999.2	85281.2	61574.3	61980.1	61125.7	55611.1	72462.1	69227.3	63073.8	62416.2	56167	55439.7	53862.1	49363.8	47900.9	49225.7
Q16401	PSMD5_HUMAN	PSMD5		133781	93114.9	108220	126934	122315	153632	126769	107197	112964	117600	95458.6	137106	134820	130450	88951.2	99756	120213	98994.4	114850	109271
Q16512	PKN1_HUMAN	PKN1		303564	317641	321230	331514	343842	287688	314440	340327	310526	320172	306138	336709	354375	283222	333876	228274	275189	249158	267572	288731
Q16513	PKN2_HUMAN	PKN2		71985.4	57016.9	46712.2	168886	153906	89578.2	88060.8	98830.6	53755.3	90642.9	62355.1	55036.3	55281.5	80538.6	102273	48313.5	49988.1	49577.1	56351.4	111437
Q16514	TAF12_HUMAN	TAF12		72347.8	67892.1	83290.8	86718.7	87001.5	105632	89180.9	62452.4	88041.6	98069.6	68743.4	74686.3	96449.2	86400.2	72171.6	117416	96659	94661.7	126591	142091
Q16531	DDB1_HUMAN	DDB1		876557	694425	561089	612783	715023	607624	480560	609708	470850	470805	662028	782276	581996	571172	505032	668827	450990	468639	455938	620807
Q16537	2A5E_HUMAN	PPP2R5E		113843	94225.3	94453.2	105049	103857	111037	111184	103769	103072	100001	80355.7	114163	105744	95932.2	87394	113633	92850.6	87733.8	45791.9	80802.9
Q16539	MK14_HUMAN	MAPK14		358525	245780	284452	260321	280411	295503	206532	333979	254418	249963	301864	310351	249362	190105	314416	194287	205208	183370	192820	163229
Q16540	RM23_HUMAN	MRPL23		100493	114669	94954.4	103427	100474	87683.4	115322	88936.8	108737	113646	105941	89593.6	101947	93558.4	93805.8	122245	123102	129679	158609	118806
Q16543	CDC37_HUMAN	CDC37		909823	981576	1.16142e+06	923139	1.10737e+06	1.18361e+06	1.25718e+06	948991	1.34137e+06	1.32613e+06	1.02937e+06	918708	1.02818e+06	1.02288e+06	1.12303e+06	785016	745440	582586	790440	753732
Q16555	DPYL2_HUMAN	DPYSL2		1.03086e+06	1.48959e+06	1.41684e+06	1.34559e+06	1.33376e+06	1.18579e+06	1.30493e+06	1.31254e+06	1.42445e+06	1.4158e+06	1.19777e+06	1.3409e+06	1.39335e+06	1.37004e+06	1.54223e+06	907170	1.22482e+06	1.18944e+06	795560	952800
Q16560	U1SBP_HUMAN	SNRNP35		4496.36	2096.71					5601.68		4181.69				3693.44				8512.9	11997.6	8922.49	4546.03
Q16563	SYPL1_HUMAN	SYPL1		482035	448871	451223	528529	432910	555688	545644	463309	410593	506890	439571	437116	370569	571590	405472	450760	548097	594486	597643	576133
Q16576	RBBP7_HUMAN	RBBP7		1.66809e+06	1.59006e+06	1.64689e+06	1.60973e+06	1.64637e+06	1.57676e+06	1.63084e+06	1.82245e+06	1.55648e+06	1.70601e+06	1.78829e+06	1.57644e+06	1.543e+06	1.24512e+06	1.68117e+06	1.5257e+06	1.4089e+06	1.44969e+06	1.27949e+06	1.47841e+06
Q16584	M3K11_HUMAN	MAP3K11		25196.6	21190.1	25430.6	31586.1	28967.3	27190.3	29138.3	22528.1	25341.3	27727	20269.2	38487.3	35733	35667.1	25735.3	25995.5	26277.6	25425.2	33343.9	25831.4
Q16594	TAF9_HUMAN	TAF9		80181.1	80341.2	82745.6	89951.9	92921.2	97509.4	83502.8	88639.6	85380	91074.5	71683.3	89939	91787.6	96272.1	89655.7	109673	116733	113702	127879	118184
Q16595	FRDA_HUMAN	FXN		19301.1	14052.8	25778.4	23594.1	27857.6	16926.3	19765.5	23757.3	14032.1	16780.3	18891.7	22740.5	22351.5	24550.2	21762.7	23505.6	29181.1	25260	30211	32448.4
Q16610	ECM1_HUMAN	ECM1		87275.9	141792	140036	121945	129312	91327.7	137313	127915	142106	120915	104655	101156	122754	106819	129234	154855	161425	175732	122312	127797
Q16611	BAK_HUMAN	BAK1		45561	51975.8	63136.5	61683.4	69375.5	68164.5	78101.2	84667.6	75891	70536	61705.4	54844.9	55020.7	61107.5	66194.6	83719.2	106359	107349	105338	88583.6
Q16621	NFE2_HUMAN	NFE2		7297.59	13266	11554.3		7091.28															
Q16629	SRSF7_HUMAN	SRSF7		1.33389e+06	1.36131e+06	1.25544e+06	1.65675e+06	1.57489e+06	1.55967e+06	1.02837e+06	1.48078e+06	942986	921043	1.15777e+06	1.78783e+06	1.38339e+06	1.30732e+06	1.06608e+06	1.4294e+06	1.3485e+06	1.52004e+06	1.18858e+06	2.01454e+06
Q16630	CPSF6_HUMAN	CPSF6		402693	342113	321384	423090	547042	490743	392114	410184	459784	402099	312451	369327	361855	400821	368191	465464	465335	363128	469749	526336
Q16635	TAZ_HUMAN	TAFAZZIN		28279	32460.6	28336.3	26164.1	26993.6		30325.1	27744.3	23864.2	27551.4	27804.7	19043.1	25204.1	24181.8	34272.9	22301.7		31819.6	21966.7	23749.4
Q16637	SMN_HUMAN	SMN1		162448	95297.6	106437	98139.2	112985	222576	148889	125257	111356	104241	105150	101626	117866	112162	105336	131133	201475	135570	136303	95421.6
Q16643	DREB_HUMAN	DBN1		59063.3	65091.5	66175.4	73348.5	77256.6	48339.8	64198	63342.5	63430.1	58291.4	57682	71901.2	79139.1	63938.1	69642.6	41235.6	49733.5	39865.3	43452.5	56704.4
